titre,url,difficulte,type,duree_min,utilisateurs,publie,point_de_vue,competences,technologies,outils,description
Careers in Cyber,https://tryhackme.com/room/careersincybersn,easy,walkthrough,10,1949866,2026-01-01,,,,,Discover the perks and your place within Cyber Security.
What is Networking?,https://tryhackme.com/room/whatisnetworking,info,walkthrough,30,1451743,2021-07-01,Purple,Network troubleshooting,,,Begin learning the fundamentals of computer networking in this bite-sized and interactive module.
Linux Fundamentals (Pt1),https://tryhackme.com/room/linuxfundamentalspt15vm,easy,walkthrough,15,1247305,2026-05-28,,,,,Embark on the journey of learning the fundamentals of Linux. Learn to run some of the first essential commands on an interactive terminal.
DNS in Detail,https://tryhackme.com/room/dnsindetail,easy,walkthrough,45,776067,2021-05-11,Blue,Security analysis; Security operations,Linux,,Learn how DNS works and how it helps you access internet services.
Search Skills,https://tryhackme.com/room/searchskillscS,easy,walkthrough,15,729081,2024-10-21,,,,,Learn to efficiently search the Internet and use specialised services and technical docs for information
Junior Security Analyst Intro,https://tryhackme.com/room/jrsecanalystintrouxo,easy,walkthrough,15,727512,2022-02-22,Blue,Security analysis; Security operations,,,Play through a day in the life of a Security Analyst and experience their everyday duties.
Pentesting Fundamentals,https://tryhackme.com/room/pentestingfundamentals,easy,walkthrough,30,688404,2021-09-10,Red,Application penetration testing; Cloud penetration testing; Information gathering; Mobile penetration testing,Web,Burp Suite; Dirbuster,Learn the important ethics and methodologies behind every pentest.
HTTP in Detail,https://tryhackme.com/room/httpindetail,easy,walkthrough,30,682825,2021-05-11,Purple,Security analysis; Security operations,Web,Burp Suite,Learn about how you request content from a web server using the HTTP protocol
Intro to LAN,https://tryhackme.com/room/introtolan,info,walkthrough,15,646206,2021-07-01,Purple,Security analysis,,,Learn about some of the technologies and designs that power private networks
Windows Fundamentals 1,https://tryhackme.com/room/windowsfundamentals1xbx,info,walkthrough,30,604889,2021-06-22,Purple,Exploitation; File system navigation; Security analysis,Windows,Wireshark,"In part 1 of the Windows Fundamentals module, we'll start our journey learning about the Windows desktop, the NTFS file system, UAC, the Control Panel, and more.."
Nmap,https://tryhackme.com/room/furthernmap,easy,walkthrough,50,573675,2020-11-29,Purple,Penetration testing; Red teaming,,Nmap,"An in depth look at scanning with Nmap, a powerful network scanning tool."
Introductory Networking,https://tryhackme.com/room/introtonetworking,easy,walkthrough,20,512019,2020-03-24,Purple,Network penetration testing; Penetration testing; Red teaming,Linux; Windows,,An introduction to networking theory and basic networking tools
Learning Cyber Security,https://tryhackme.com/room/beginnerpathintro,easy,walkthrough,45,485264,2021-05-29,Red,Application penetration testing; Network security engineering; Penetration testing,,,Get a short introduction to a few of the security topics you'll be learning about.
Web Application Security,https://tryhackme.com/room/introwebapplicationsecurity,easy,walkthrough,90,467561,2022-04-25,Blue,Application penetration testing; Identity and access management (IAC); Security analysis; Security operations; Vulnerability analysis,Linux,Burpe Suite; Dirbuster,Learn about web applications and explore some of their common security issues.
Windows Fundamentals 2,https://tryhackme.com/room/windowsfundamentals2x0x,info,walkthrough,30,464521,2021-06-29,Purple,Exploitation; File system navigation; Security analysis,Windows,Device Manager; Resmon (Resource Manager); compmgmt; msinfo32,"In part 2 of the Windows Fundamentals module, discover more about System Configuration, UAC Settings, Resource Monitoring, the Windows Registry and more.."
Blue,https://tryhackme.com/room/blue,easy,walkthrough,30,462476,2020-01-10,Red,Penetration testing; Red teaming,Windows,Nmap,"Deploy & hack into a Windows machine, leveraging common misconfigurations issues."
Starting Out In Cyber Sec,https://tryhackme.com/room/startingoutincybersec,easy,walkthrough,10,460045,2020-09-27,Blue,Security analysis,,Splunk; Volatility,Learn about the different career paths in Cyber Security and how TryHackMe can help!
Red Team Fundamentals,https://tryhackme.com/room/redteamfundamentals,easy,walkthrough,20,425332,2022-02-08,Red,Documentation; Penetration testing; Red teaming,,,"Learn about the basics of a red engagement, the main components and stakeholders involved, and how red teaming differs from other cyber security engagements."
Metasploit: Introduction,https://tryhackme.com/room/metasploitintro,easy,walkthrough,30,399769,2021-09-24,Red,Exploit development; Red teaming; Vulnerability analysis,Linux,pattern_create; pattern_offset,An introduction to the main components of the Metasploit Framework.
Vulnversity,https://tryhackme.com/room/vulnversity,easy,walkthrough,45,381747,2020-03-21,Red,Penetration testing; Port scanning; Red teaming; Reverse shell techniques,Linux; Web,Gobuster; Nmap,"Learn about active recon, web app attacks and privilege escalation."
Pickle Rick,https://tryhackme.com/room/picklerick,easy,challenge,30,381112,2020-04-22,Red,Application penetration testing; Penetration testing; Red teaming,Linux,Burp Suite; Dirbuster,A Rick and Morty CTF. Help turn Rick back into a human!
Introductory Researching,https://tryhackme.com/room/introtoresearch,easy,walkthrough,45,376438,2020-03-29,Purple,Penetration testing; Security analysis,,,A brief introduction to research skills for pentesting.
Basic Pentesting,https://tryhackme.com/room/basicpentestingjt,easy,challenge,45,341333,2019-07-29,Red,Penetration testing; Red teaming,Linux,Enum4linux; Gobuster; Hydra; John the Ripper; LinPeas; Nmap,This is a machine that allows you to practise web app hacking and privilege escalation
Pyramid Of Pain,https://tryhackme.com/room/pyramidofpainax,easy,walkthrough,30,326069,2022-02-04,Blue,Incident response; Packet analysis; Security analysis; Security operations,Windows,Snort,Learn what the Pyramid of Pain is and how it ranks indicators by how painful they are for an adversary to change.
Intro to Digital Forensics,https://tryhackme.com/room/introdigitalforensics,easy,walkthrough,90,296825,2022-03-16,Blue,Digital forensics; Malware analysis; Security analysis,Linux,Redline; Volatility,Learn about digital forensics and related processes and experiment with a practical example.
Inside a Computer System,https://tryhackme.com/room/insideacomputer,easy,walkthrough,45,286996,2026-02-11,Purple,,N/A,,This room covers the basic components of a computer system.
Hydra,https://tryhackme.com/room/hydra,easy,walkthrough,45,272193,2020-02-19,Red,Network penetration testing; Penetration testing; Red teaming,Linux,Hydra,"Learn about and use Hydra, a fast network logon cracker, to bruteforce and obtain a website's credentials."
Passive Reconnaissance,https://tryhackme.com/room/passiverecon,easy,walkthrough,60,270751,2021-10-11,Blue,Domain enumeration; Information gathering; OSINT; Reconnaissance; Subdomain enumeration,Linux,,"Learn about the essential tools for passive reconnaissance, such as whois, nslookup, and dig."
OpenVPN,https://tryhackme.com/room/openvpn,easy,walkthrough,45,264344,2020-01-25,Purple,,Linux; MacOs; Windows,,A guide to connecting to our network using OpenVPN.
SQL Injection,https://tryhackme.com/room/sqlinjectionlm,medium,walkthrough,30,256565,2021-10-04,Red,Application penetration testing; Penetration testing; Red teaming,Linux,Gobuster; Nmap; SQLMap,Learn how to detect and exploit SQL Injection vulnerabilities
OhSINT,https://tryhackme.com/room/ohsint,easy,challenge,60,252008,2019-04-12,Red,Information gathering; OSINT; Red teaming,Web; Windows,,Are you able to use open source intelligence to solve this challenge?
Security Principles,https://tryhackme.com/room/securityprinciples,easy,walkthrough,90,248569,2022-11-15,Blue,Security analysis; Threat modelling,,,Learn about the security triad and common security models and principles.
Tutorial,https://tryhackme.com/room/tutorial,easy,walkthrough,15,246037,2020-06-12,,,,,Learn how to use a TryHackMe room to start your upskilling in cyber security.
Cyber Kill Chain,https://tryhackme.com/room/cyberkillchainzmt,easy,walkthrough,45,244441,2022-09-13,Blue,Incident handling; Incident management; OSINT,,Crowdstrike,The Cyber Kill Chain framework is designed for identification and prevention of the network intrusions. You will learn what the adversaries need to do in order to achieve their goals.
Network Services,https://tryhackme.com/room/networkservices,easy,walkthrough,60,232326,2020-05-05,Red,Brute force attacks; Network penetration testing; Penetration testing; Port scanning; Red teaming; Reverse shell techniques,Linux,Enum4Linux NEW; Hydra NEW; Telnet,"Learn about, then enumerate and exploit a variety of network services and misconfigurations."
Security Engineer Intro,https://tryhackme.com/room/securityengineerintro,easy,walkthrough,60,223194,2023-08-09,Blue,Risk assessment; Security operations; Vulnerability analysis,,,What does a day in the life of a security engineer look like?
Networking Concepts,https://tryhackme.com/room/networkingconcepts,easy,walkthrough,60,220441,2024-10-21,,,Linux,Wireshark,Learn about the ISO OSI model and the TCP/IP protocol suite.
Introduction to SIEM,https://tryhackme.com/room/introtosiem,easy,walkthrough,120,219090,2022-11-03,Blue,Detection engineering; Endpoint security monitoring; Incident handling; Incident response; SIEM engineering; Security operations,Windows,Event Viewer NEW; Qrader; Splunk,Learn the fundamentals of SIEM and explore its features and functionality.
OWASP Juice Shop,https://tryhackme.com/room/owaspjuiceshop,easy,walkthrough,120,217827,2020-08-28,,,,,This room uses the Juice Shop vulnerable web application to learn how to identify and exploit common web application vulnerabilities.
Active Reconnaissance,https://tryhackme.com/room/activerecon,easy,walkthrough,60,211922,2021-10-11,Red,Penetration testing; Red teaming; Security analysis,Linux; Web,,"Learn how to use simple tools such as traceroute, ping, telnet, and a web browser to gather information."
Windows Command Line,https://tryhackme.com/room/windowscommandline,easy,walkthrough,45,202043,2024-10-21,,,Windows,,Learn the essential Windows commands.
Simple CTF,https://tryhackme.com/room/easyctf,easy,challenge,45,200930,2019-08-19,Red,Penetration testing; Vulnerability analysis,Linux; Web,,Beginner level ctf
RootMe,https://tryhackme.com/room/rrootme,easy,challenge,45,191206,2020-09-09,Red,Penetration testing,,,"A ctf for beginners, can you root me?"
SOC Role in Blue Team,https://tryhackme.com/room/socroleinblueteam,easy,walkthrough,30,191130,2025-09-10,Blue,Security operations,,,"Discover security roles and learn how to advance your SOC career, starting from the L1 analyst."
Vulnerabilities 101,https://tryhackme.com/room/vulnerabilities101,easy,walkthrough,20,182964,2021-09-20,Purple,Penetration testing; Security analysis; Security operations; Vulnerability analysis,Linux; Web; Windows,,Understand the flaws of an application and  apply your researching skills on some vulnerability databases.
Mr Robot CTF,https://tryhackme.com/room/mrrobot,medium,challenge,30,182860,2018-11-27,Red,Exploit development; Penetration testing; Red teaming,Linux,Metasploit Framework,"Based on the Mr. Robot show, can you root this box?"
Phishing Analysis Fundamentals,https://tryhackme.com/room/phishingemails1tryoe,easy,walkthrough,30,181050,2022-01-02,Blue,Dynamic malware analysis; Email analysis; Incident response; Security analysis; Static malware analysis,Windows,Phishtool,Learn all the components that make up an email.
Kenobi,https://tryhackme.com/room/kenobi,easy,walkthrough,45,175571,2020-04-25,Red,Penetration testing; Privilege escalation,Linux,,"Walkthrough on exploiting a Linux machine. Enumerate Samba for shares, manipulate a vulnerable version of proftpd and escalate your privileges with path variable manipulation."
Python Basics,https://tryhackme.com/room/pythonbasics,easy,walkthrough,80,172899,2021-08-04,Red,Scripting,,,"Using a web-based code editor, learn the basics of Python and put your knowledge into practice by eventually coding a short Bitcoin investment project."
Linux Privilege Escalation,https://tryhackme.com/room/linprivesc,medium,walkthrough,50,171113,2021-10-18,Red,Kernel exploitation; Penetration testing; Privilege escalation,Linux,LinPeas,"Learn the fundamentals of Linux privilege escalation. From enumeration to exploitation, get hands-on with over 8 different privilege escalation techniques."
Unified Kill Chain,https://tryhackme.com/room/unifiedkillchain,easy,walkthrough,40,168119,2022-09-27,Blue,Security analysis; Threat modelling,,,"The Unified Kill Chain is a framework which establishes the phases of an attack, and a means of identifying and mitigating risk to IT assets."
Cryptography Basics,https://tryhackme.com/room/cryptographybasics,easy,walkthrough,45,167174,2024-10-21,Blue; Purple; Red,Cryptography,Linux,,Learn the basics of cryptography and symmetric encryption.
Nessus,https://tryhackme.com/room/rpnessusredux,easy,walkthrough,45,165920,2020-06-29,Blue,Security operations; Vulnerability analysis,,Nessus,"Learn how to set up and use Nessus, a popular vulnerability scanner."
Network Services 2,https://tryhackme.com/room/networkservices2,easy,walkthrough,60,161457,2020-09-15,Red,Brute force attacks; Penetration testing; Port scanning; Reconnaissance; Red teaming,Linux; Windows,Hydra; Nmap,Enumerating and Exploiting More Common Network Services & Misconfigurations
Google Dorking,https://tryhackme.com/room/googledorking,easy,walkthrough,45,156545,2020-03-29,Red,Information gathering; OSINT,Web,,Explaining how Search Engines work and leveraging them into finding hidden content!
Advent of Cyber 2024,https://tryhackme.com/room/adventofcyber2024,easy,walkthrough,1440,156007,2024-12-12,,,,,Dive into the wonderful world of cyber security by engaging in festive beginner-friendly exercises every day in the lead-up to Christmas!
Crack the hash,https://tryhackme.com/room/crackthehash,easy,challenge,45,151961,2018-11-18,Blue,Digital forensics,Linux,Hashcat,Cracking hashes challenges
Web Application Basics,https://tryhackme.com/room/webapplicationbasics,easy,walkthrough,120,150363,2024-10-21,Red,Application penetration testing; Application security engineering,Web,Burp Suite,"Learn the basics of web applications: HTTP, URLs, request methods, response codes, and headers."
Investigating Windows,https://tryhackme.com/room/investigatingwindows,easy,challenge,45,150321,2019-03-11,Blue,Digital forensics; Incident handling; Incident response; Security analysis; Security operations,Windows,,"A windows machine has been hacked, its your job to go investigate this windows machine and find clues to what the hacker might have done."
Enumeration & Brute Force,https://tryhackme.com/room/enumerationbruteforce,easy,walkthrough,30,147780,2024-07-30,Red,Application penetration testing,Web,Burp Suite,Enumerate and brute force authentication mechanisms.
Encryption - Crypto 101,https://tryhackme.com/room/encryptioncrypto101,medium,walkthrough,45,144930,2020-09-08,Purple,Application security engineering; Digital forensics; Identity and access management (IAC); Penetration testing; Red teaming; Security analysis; Security operations,,John the Ripper,"An introduction to encryption, as part of a series on crypto"
Intro to Cyber Threat Intel,https://tryhackme.com/room/cyberthreatintel,easy,walkthrough,45,144282,2022-10-10,Blue,Cyber threat intelligence; Threat intelligence,,MITRE ATT&CK Framework,"Introducing cyber threat intelligence and related topics, such as relevant standards and frameworks."
Neighbour,https://tryhackme.com/room/neighbour,easy,challenge,4,140946,2022-11-11,Red,Application penetration testing; Code review,Linux,,"Check out our new cloud service, Authentication Anywhere. Can you find other user's secrets?"
Advent of Cyber Prep Track,https://tryhackme.com/room/adventofcyberpreptrack,easy,walkthrough,60,139520,2025-11-20,,,,,"Get ready for the Advent of Cyber 2025 with the ""Advent of Cyber Prep Track"", a series of warm-up tasks aimed to get beginners ready for this year's event."
Attacktive Directory,https://tryhackme.com/room/attacktivedirectory,medium,challenge,75,139347,2020-04-07,Red,Active Directory pentesting; Red teaming; Security analysis; Vulnerability analysis,Windows,Nmap; secretsdump,99% of Corporate networks run off of AD. But can you exploit a vulnerable Domain Controller?
Governance & Regulation,https://tryhackme.com/room/cybergovernanceregulation,easy,walkthrough,120,137384,2023-06-28,Blue,Incident handling; Incident management; Risk assessment; Security operations,,,Explore policies and frameworks vital for regulating cyber security in an organisation.
Nmap Basic Port Scans,https://tryhackme.com/room/nmap02,easy,walkthrough,120,133265,2021-10-12,Red,Penetration testing; Port scanning; Red teaming; Vulnerability analysis,Linux,Nmap,"Learn in-depth how nmap TCP connect scan, TCP SYN port scan, and UDP port scan work."
SOC Fundamentals,https://tryhackme.com/room/socfundamentals,easy,walkthrough,45,132596,2024-10-21,Blue,Security analysis; Security operations,,,Learn about the SOC team and their processes.
Intro to Logs,https://tryhackme.com/room/introtologs,easy,walkthrough,30,130126,2023-08-29,Blue,Digital forensics; Incident handling; Incident response; Log correlation; Log management; Security analysis; Security operations,Linux,Log Viewer NEW,"Learn the fundamentals of logging, data sources, collection methods and principles to step into the log analysis world."
Linux PrivEsc,https://tryhackme.com/room/linuxprivesc,medium,walkthrough,75,129922,2020-05-18,Red,Identity and access management (IAC); Penetration testing; Red teaming; Vulnerability analysis,,Hashcat; John the Ripper,Practice your Linux Privilege Escalation skills on an intentionally misconfigured Debian VM with multiple ways to get root! SSH is available. Credentials: user:password321
Threat Intelligence Tools,https://tryhackme.com/room/threatinteltools,easy,walkthrough,60,128798,2022-08-02,Blue,Threat modelling,Web,Cisco Talos Intelligence; Phishtool; ThreatFox; URLScan.io,Explore different OSINT tools used to conduct security threat assessments and investigations.
Burp Suite: Repeater,https://tryhackme.com/room/burpsuiterepeater,info,walkthrough,60,128228,2023-09-11,Red,Application penetration testing; Penetration testing,Linux,Burp Suite,Learn how to use Repeater to duplicate requests in Burp Suite.
Operating Systems: Introduction,https://tryhackme.com/room/operatingsystemsintroduction,easy,walkthrough,45,125530,2026-02-09,Purple,File system navigation,Linux; Windows,,Explore the basics of operating systems and the core features that power your computer.
Snort,https://tryhackme.com/room/snort,medium,walkthrough,120,121895,2022-03-15,Blue,Detection engineering; Security analysis,Linux,Snort; Wireshark,"Learn how to use Snort to detect real-time threats, analyse recorded traffic files and identify anomalies."
Phishing Emails in Action,https://tryhackme.com/room/phishingemails2rytmuv,easy,walkthrough,30,118695,2021-12-30,Blue,Dynamic malware analysis; Email analysis; Incident response; Security analysis; Static malware analysis,Windows,Phishtool; URLScan.io,Learn the different indicators of phishing attempts by examining actual phishing emails.
Common Attacks,https://tryhackme.com/room/commonattacks,easy,walkthrough,40,113279,2022-01-24,Blue,Detection engineering; Incident response; Malware analysis; Security analysis,Linux,FireEye; Snort; Splunk,"With practical exercises see how common attacks occur, and improve your cyber hygiene to stay safer online."
Bounty Hacker,https://tryhackme.com/room/cowboyhacker,easy,challenge,45,108225,2020-07-30,Red,Network penetration testing; Penetration testing; Red teaming,Linux; Web,Hydra; Nmap,You talked a big game about being the most elite hacker in the solar system. Prove it and claim your right to the status of Elite Bounty Hacker!
Windows Basics,https://tryhackme.com/room/windowsbasics,easy,walkthrough,45,106857,2026-02-09,Purple,File system navigation,Windows,Windows Defender,"Learn to navigate Windows, manage files, and use essential system tools."
Windows Forensics 1,https://tryhackme.com/room/windowsforensics1,medium,walkthrough,60,106103,2022-01-18,Blue,Digital forensics; Registry forensics,Windows,FTK Imager; Registry Explorer; regedit,Introduction to Windows Registry Forensics
